hydrogenase_Fe	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [Fe] hydrogenase
hydrogenase_FeFeGroupA1	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02512" target="_blank">TIGR02512</a> - [FeFe] hydrogenase, group A1
hydrogenase_FeFeGroupA2	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02512" target="_blank">TIGR02512</a> - [FeFe] hydrogenase, group A2
hydrogenase_FeFeGroupA3	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02512" target="_blank">TIGR02512</a> - [FeFe] hydrogenase, group A3
hydrogenase_FeFeGroupA4	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02512" target="_blank">TIGR02512</a> - [FeFe] hydrogenase, group A4
hydrogenase_FeFeGroupB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04105" target="_blank">TIGR04105</a> - [FeFe] hydrogenase, group B
hydrogenase_FeFeGroupC1	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [FeFe] hydrogenase, group C1
hydrogenase_FeFeGroupC2	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [FeFe] hydrogenase, group C2
hydrogenase_FeFeGroupC3	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [FeFe] hydrogenase, group C3
hydrogenase_NiFeGroup1a	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1a
hydrogenase_NiFeGroup1b	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1b
hydrogenase_NiFeGroup1c	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1c
hydrogenase_NiFeGroup1d	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1d
hydrogenase_NiFeGroup1e	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1e
hydrogenase_NiFeGroup1f	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1f
hydrogenase_NiFeGroup1g	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1g
hydrogenase_NiFeGroup1h	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1h
hydrogenase_NiFeGroup1i	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1i
hydrogenase_NiFeGroup1j	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1j
hydrogenase_NiFeGroup1k	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 1k
hydrogenase_NiFeGroup2a	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 2a
hydrogenase_NiFeGroup2b	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 2b
hydrogenase_NiFeGroup2c	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 2c
hydrogenase_NiFeGroup2d	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 2d
hydrogenase_NiFeGroup2e	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 2e
hydrogenase_NiFeGroup3a	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 3a
hydrogenase_NiFeGroup3b	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 3b
hydrogenase_NiFeGroup3c	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 3c
hydrogenase_NiFeGroup3d	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 3d
hydrogenase_NiFeGroup4a	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4a
hydrogenase_NiFeGroup4b	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4b
hydrogenase_NiFeGroup4c	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4c
hydrogenase_NiFeGroup4d	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4d
hydrogenase_NiFeGroup4e	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4e
hydrogenase_NiFeGroup4f	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4f
hydrogenase_NiFeGroup4g	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4g
hydrogenase_NiFeGroup4h	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4h
hydrogenase_NiFeGroup4i	<a href="https://doi.org/10.1038/ncomms13219" target="_blank">Custom Model</a> - [NiFe] Hydrogenase, group 4i
